sampleID	cellType	label	study
Bcell.Memory_IgG_IgA.4.IRIS_GSE22886.GSM565318	B cells memory	B memory	Abbas
Bcell.Memory_IgM.1.IRIS_GSE22886.GSM565319	B cells memory	B memory	Abbas
Bcell.Memory_IgM.2.IRIS_GSE22886.GSM565320	B cells memory	B memory	Abbas
Bcell.Memory_IgM.3.IRIS_GSE22886.GSM565321	B cells memory	B memory	Abbas
Bcell.Memory_IgM.4.IRIS_GSE22886.GSM565322	B cells memory	B memory	Abbas
Bcell.naive.1.IRIS_GSE22886.GSM565308	B cells naive	B naive	Abbas
Bcell.naive.2.IRIS_GSE22886.GSM565309	B cells naive	B naive	Abbas
Bcell.naive.3.IRIS_GSE22886.GSM565310	B cells naive	B naive	Abbas
Bcell.naive.4.IRIS_GSE22886.GSM565311	B cells naive	B naive	Abbas
Bcell.naive.5.IRIS_GSE22886.GSM565312	B cells naive	B naive	Abbas
Bcell.naive.6.IRIS_GSE22886.GSM565313	B cells naive	B naive	Abbas
Bcell.naive.7.IRIS_GSE22886.GSM565314	B cells naive	B naive	Abbas
PlasmaCell.FromPBMC.1.IRIS_GSE22886.GSM565323	Plasma cells	Plasma	Abbas
PlasmaCell.FromPBMC.2.IRIS_GSE22886.GSM565324	Plasma cells	Plasma	Abbas
PlasmaCell.FromPBMC.3.IRIS_GSE22886.GSM565325	Plasma cells	Plasma	Abbas
PlasmaCell.FromBoneMarrow.1.IRIS_GSE22886.GSM565326	Plasma cells	Plasma	Abbas
PlasmaCell.FromBoneMarrow.2.IRIS_GSE22886.GSM565327	Plasma cells	Plasma	Abbas
PlasmaCell.FromBoneMarrow.3.IRIS_GSE22886.GSM565328	Plasma cells	Plasma	Abbas
PlasmaCell.FromBoneMarrow.4.IRIS_GSE22886.GSM565329	Plasma cells	Plasma	Abbas
TN1.TFH_E.MEXP.750.TN1	T cells CD4 naive	CD4+ T	Rasheed
TN2.TFH_E.MEXP.750.TN2	T cells CD4 naive	CD4+ T	Rasheed
TN3.TFH_E.MEXP.750.TN3	T cells CD4 naive	CD4+ T	Rasheed
CD8Tcell.N0.1.IRIS_GSE22886.GSM565269	T cells CD8	CD8+ T	Abbas
CD8Tcell.N0.2.IRIS_GSE22886.GSM565270	T cells CD8	CD8+ T	Abbas
CD8Tcell.N0.3.IRIS_GSE22886.GSM565271	T cells CD8	CD8+ T	Abbas
CD8Tcell.N0.4.IRIS_GSE22886.GSM565272	T cells CD8	CD8+ T	Abbas
MemoryTcell.RO.activated.1.IRIS_GSE22886.GSM565290	T cells CD4 memory activated	CD4+ T memory activated	Abbas
MemoryTcell.RO.activated.2.IRIS_GSE22886.GSM565291	T cells CD4 memory activated	CD4+ T memory activated	Abbas
MemoryTcell.RO.activated.3.IRIS_GSE22886.GSM565292	T cells CD4 memory activated	CD4+ T memory activated	Abbas
MemoryTcell.RO.unactivated.1.IRIS_GSE22886.GSM565287	T cells CD4 memory resting	CD4+ T memory resting	Abbas
MemoryTcell.RO.unactivated.2.IRIS_GSE22886.GSM565288	T cells CD4 memory resting	CD4+ T memory resting	Abbas
MemoryTcell.RO.unactivated.3.IRIS_GSE22886.GSM565289	T cells CD4 memory resting	CD4+ T memory resting	Abbas
A_TS_RN_gdTcells.Chtanova_immune.A_TS_RN_gdTcell	T cells gamma delta	T gd	Chtanova
A_TS_RN_gdTcellsREP_A.Chtanova_immune.A_TS_RN_gdTcellsREP_A	T cells gamma delta	T gd	Chtanova
TFH_E.MEXP.750.CXCR5hiICOShi1	T cells follicular helper	Tfh	Rasheed
TFH_E.MEXP.750.CXCR5hiICOShi2	T cells follicular helper	Tfh	Rasheed
TFH_E.MEXP.750.CXCR5hiICOShi3	T cells follicular helper	Tfh	Rasheed
Treg_1.TREGs_GSE4527.GSM101519	T cells regulatory (Tregs)	Tregs	Ocklenburg
Treg_2.TREGs_GSE4527.GSM101521	T cells regulatory (Tregs)	Tregs	Ocklenburg
